baseMean,log2FoldChange,lfcSE,pvalue,padj
ANGPT1,5.88265482505232,4.68019776911854,0.654478585173649,3.72982755282922e-15,2.42334605806725e-14
ANGPTL2,5.44642171586644,2.67812247152363,0.915312848209624,5.88037784662731e-05,0.000140179272389196
ANKFY1,1858.90532815921,2.24709235827186,0.210200358139613,4.14639436624194e-28,7.38854440440149e-27
ANKLE1,81.1402844576999,2.21490315696955,0.15709348164102,1.47717504545338e-46,9.07370375631487e-45
ANKRD2,200.74703447033,3.08047760729183,0.397788383529815,1.32012762200055e-16,9.65602782633106e-16
ANKRD22,240.042564322167,4.36520022272668,0.447001896636091,7.24918684785875e-25,1.01657608167923e-23
ANKRD29,5.62353310600682,2.43823781310806,0.482480996180896,1.17078308049019e-08,4.21902723386726e-08
ANKRD33B,70.7414252191551,2.37765471662453,0.246054967737181,1.31797826752134e-23,1.68317209933453e-22
ANKRD35,2.57760486256064,3.49079571893996,0.6687426065849,1.33185746576711e-09,5.28291348119764e-09
ANKRD9,6.80704102763204,2.38050653493388,0.466762004551515,1.0030288088128e-08,3.6385605260427e-08
ANKS4B,0.887899817249497,2.14686569418161,0.873106202538117,0.000580346558494228,0.00119968547374473
ANO10,295.356014771376,2.01861979996664,0.234408610107034,3.99453136523737e-19,3.56625382121627e-18
ANO4,0.972792546201554,2.13243732894821,0.812956418831268,0.00037965119581876,0.000806995870727218
ANP32B,361.873747869503,2.32119857231394,0.140262245099208,5.39027305004685e-63,9.12944789884149e-61
ANTXR1,1.39599959636897,3.21762718521013,0.646597499095573,6.33835978101571e-09,2.34961084530002e-08
AP1M2,6.61251686422669,2.15900845474183,0.472168426891198,2.07976810992649e-07,6.600246439452e-07
APBB1IP,1841.36706851046,2.28223717633607,0.210309431764392,6.80473294666769e-29,1.27918713636442e-27
APCDD1L,5.17985123205317,2.03858272937274,0.566539571052134,1.74335880277861e-05,4.4561017310583e-05
APOA1,1.00962872606459,2.1128845404808,0.827511047434742,0.000479659805529494,0.0010051249618573
APOBEC1,1.37347657954065,2.00537071131974,0.73986670926459,0.0003790087018759,0.000805826545304701
APOE,1.50560411396202,2.06936256716047,0.751582140795102,0.000293771002007484,0.000633556079864081
APP,211.735167882209,2.14263041267449,0.234589376480379,2.89472998929228e-21,3.03842145987989e-20
ARAP3,527.044425698568,3.87987772902108,0.261813742508539,7.0305178439324e-52,5.92499438586477e-50
ARC,2.95003027351624,3.27583145927593,0.657035157352879,5.65416805347571e-09,2.10897929640547e-08
ARG2,345.518578480579,3.57202974349556,0.361142334499111,3.89904507872892e-25,5.55255848150416e-24
ARHGAP20,5.55999675768628,3.13029678999289,0.670398881567359,3.18100374726945e-08,1.10060710771748e-07
ARHGAP28,46.4272160600557,5.50629835043995,0.673299546917055,2.05039493658666e-18,1.73468184620535e-17
ARHGAP29,24.2240665670788,6.39564259772916,0.696482252915267,6.50873513334788e-22,7.21377918686491e-21
ARHGEF11,953.365541012388,2.56160970924742,0.252784266411921,9.67440051047098e-26,1.45116007657065e-24
ARID1A,4361.90903336388,2.03773620269271,0.120029608789693,6.39842253509857e-66,1.25538908211831e-63
ARID5A,1232.57246823476,2.33157676686428,0.207687913825238,9.83927845390143e-31,2.09836445755881e-29
ARRDC4,1972.79663675839,2.77617114420315,0.35816619015361,1.72126393713048e-16,1.24698710063294e-15
ARRDC5,72.8160802726022,2.19840837026665,0.308302722180133,3.97844262921264e-14,2.37278398860221e-13
ARSG,568.865926024554,3.74708911526905,0.344980954049973,1.25699914743119e-29,2.50896454541614e-28
ASIC1,63.8210801466134,2.1299394484958,0.144664482270819,2.02394076811175e-50,1.58330254258787e-48
ASIC3,1.84119774021142,3.09244549243966,0.617674783412449,6.28408596854446e-09,2.33147340963969e-08
ATF3,884.040152186595,2.5099764199671,0.232648676319024,1.02017422396645e-28,1.89732828753676e-27
ATG2A,2233.77806275438,3.04625179783811,0.233771485167576,1.31706714905466e-40,5.21003093316521e-39
ATN1,629.24887031094,2.40799611252401,0.178544999153396,5.55233911105485e-43,2.65371385732471e-41
ATP2A1,12.9994974333374,2.19784923014103,0.264787610390394,4.12538850074547e-18,3.38989177557723e-17
ATP6V1FNB,2.34449562783963,2.57279149659969,0.472326696986839,1.14822663960377e-09,4.58790969488955e-09
ATP8A2,6.32942006127582,2.83186980587733,0.513394168097017,5.58777061151558e-10,2.30065278069128e-09
ATP9A,184.276068348725,4.27006752332177,0.339783640130137,1.5269982576708e-38,5.41432613924129e-37
ATXN2L,1926.4850843677,2.25231156063095,0.150020825794578,2.1848877321618e-52,1.90576832437813e-50
AUTS2,55.1071129660785,4.90194965457686,0.477729279235618,5.26996315921507e-27,8.78075523519646e-26
B3GAT1,67.1262164611251,2.17517469246269,0.351813741741701,2.62180684524388e-11,1.22064105725326e-10
B3GNT6,1.41901607725559,2.6141198670889,0.854019210105782,4.22231151074482e-05,0.000102545209947018
B4GALT1,1862.09671122535,2.21780149531834,0.127318598336883,2.2552375430945e-69,5.46425263045606e-67
