baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.13156,50.4051475165843,2.66869185806927,0.366348019104775,4.81305643666585e-15,1.36770179553166e-13
MSTRG.13164,3.66047407856368,3.25247308970737,0.61113003331872,9.81033781455498e-10,1.09505236588269e-08
MSTRG.13166,1.35676833131151,2.93872021270506,0.602762291845682,1.18365058845835e-08,1.06486653825377e-07
MSTRG.13174,87.828358564401,3.25353156309385,0.309997916382632,1.20731859689586e-27,1.82507075926295e-25
MSTRG.13186,1.43993523365518,3.18541016777665,0.589083483463503,6.37757492933000e-10,7.40753233151314e-09
MSTRG.13190,1.18230185504834,2.63982540452827,0.586196974622509,9.28674164563328e-08,6.9075555565764e-07
MSTRG.13216,1.24060272628953,2.27676319521297,0.628815425901475,6.53608554627786e-06,3.24720076547151e-05
MSTRG.13230,29.5587210644064,2.54160111205466,0.366372263068629,6.61930622036955e-14,1.5685749891906e-12
MSTRG.13268,1.5644352597312,2.19560360353409,0.540052870806117,1.22584287057853e-06,7.20862971644332e-06
MSTRG.13312,100.337166555408,2.5370733396499,0.383575820652232,6.16705120522765e-13,1.24208504313708e-11
MSTRG.13377,0.865866776128885,2.31329415113298,0.669842946700179,1.15761412734965e-05,5.45207561669517e-05
MSTRG.13381,18.2457656659064,3.4551573405332,0.474776783946402,3.79327514839524e-15,1.1001958732046e-13
MSTRG.1339,11.3368299069281,3.32653239513542,0.626388361847067,1.00846989088387e-09,1.12351834638087e-08
MSTRG.13510,2.62697308646006,2.88452072561144,0.587185299622388,1.02395270023145e-08,9.35475457250317e-08
MSTRG.13565,22.8076917490547,2.77186780496478,0.338558251445703,3.80155266903613e-18,1.75466898676147e-16
MSTRG.13622,1.1727743310396,2.718148984058,0.688934737949542,9.84415140134562e-07,5.92163568911713e-06
MSTRG.13719,39.1206526857641,2.31535243137463,0.358036304870753,2.15734931775081e-12,3.94630916135938e-11
MSTRG.13766,0.889809429077027,2.12594866937632,0.734226275157219,0.00010818881515707,0.000401038284370747
MSTRG.13832,2.97237435646062,2.99871548310889,0.69623564209123,1.62315883616037e-07,1.14729933797367e-06
MSTRG.13860,5.41665776517562,2.65120981034952,0.716430645676313,2.82749380820468e-06,1.53466642040624e-05
